Experiment_3 Donor_6,Experiment_1 Donor_1,Experiment_3 Donor_1,Experiment_1 Donor_2,Experiment_2 Donor_3,Experiment_3 Donor_5,Experiment_2 Donor_4
0.0,0.0,0.0,1.0,-1.0,-0.0,-1.0
-0.0,-0.0,-1.0,0.0,-0.0,-1.0,1.0
0.0,0.0,0.0,1.0,-1.0,-0.0,-1.0
-0.0,-0.0,-1.0,0.0,-0.0,-1.0,1.0
-0.0,0.0,-0.0,0.0,0.0,0.0,0.0
-0.0,0.0,-0.0,0.0,0.0,0.0,0.0
0.0,-0.0,0.0,-1.0,0.0,0.0,-0.0
0.0,-0.0,0.0,-1.0,0.0,0.0,-0.0
0.0,-0.0,0.0,-1.0,-0.0,0.0,-1.0
0.0,-0.0,0.0,-1.0,-0.0,0.0,-1.0
1.0,1.0,1.0,-1.0,1.0,1.0,-1.0
1.0,1.0,1.0,-1.0,1.0,1.0,-1.0
0.0,0.0,-0.0,0.0,1.0,1.0,-1.0
0.0,0.0,-0.0,0.0,1.0,1.0,-1.0
-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0
-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0
-0.0,-0.0,-0.0,-0.0,-0.0,-1.0,-0.0
-0.0,-0.0,-0.0,-0.0,-0.0,-1.0,-0.0
-0.0,-0.0,-0.0,-0.0,-1.0,-1.0,0.0
-0.0,-0.0,-0.0,-0.0,-1.0,-1.0,0.0
1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0
1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0
-0.0,-0.0,-0.0,-0.0,0.0,0.0,1.0
-0.0,-0.0,-0.0,-0.0,0.0,0.0,1.0
0.0,0.0,1.0,0.0,0.0,0.0,-1.0
0.0,0.0,1.0,0.0,0.0,0.0,-1.0
0.0,0.0,1.0,-0.0,0.0,-0.0,-1.0
0.0,0.0,1.0,-0.0,0.0,-0.0,-1.0
0.0,-0.0,-1.0,0.0,0.0,-1.0,1.0
0.0,-0.0,-1.0,0.0,0.0,-1.0,1.0
-1.0,-1.0,-1.0,0.0,-0.0,0.0,1.0
-1.0,-1.0,-1.0,0.0,-0.0,0.0,1.0
